ID,Gender,PHI,MHI,FI,LD,SCI,UE,TI,APM
2211091,m,1,1,1,0,1,1,0,4
2325552,f,1,0,1,1,0,0,1,4
1911703,m,0,1,1,1,1,1,0,5
2211429,f,1,0,1,1,1,1,1,1
2311458,m,0,0,0,0,0,0,0,1
2311877,m,1,0,1,0,1,1,0,2
2312303,f,1,1,0,0,0,0,1,1
1912290,m,1,0,0,1,0,1,0,3
1620783,m,0,1,0,1,0,0,1,1
2211402,m,0,1,0,1,0,1,0,1
1620783,m,0,1,0,0,1,0,0,2
2311963,f,1,1,0,1,0,0,0,3
2312285,m,1,0,1,1,0,1,1,4
1931324,m,0,1,0,1,0,1,0,1
2311446,m,1,0,1,0,1,0,1,5
2012220,m,0,0,0,1,0,1,0,2
1912733,m,1,0,1,0,0,0,1,3
2311891,m,1,1,0,0,1,0,0,3
2211267,m,0,0,1,0,0,0,1,4
2311044,m,1,0,0,0,1,1,1,4
2125019,m,0,0,1,1,0,1,1,5
1821033,f,0,1,0,1,1,0,0,1
2211365,m,0,0,1,0,1,1,1,1
2311400,m,1,0,0,0,0,0,1,3
2211283,m,1,1,1,0,0,0,1,1
2311419,m,0,0,1,1,0,1,1,4
2211272,f,0,0,1,0,1,0,0,1
1612771,f,1,0,0,1,0,0,1,5
2311922,m,0,0,1,0,0,0,1,4
1813036,f,1,1,0,0,1,1,1,4
2211155,f,0,0,1,1,0,1,1,5
2311909,f,0,1,0,1,1,0,0,1
2211187,f,0,0,1,1,1,1,1,1
2211587,m,1,0,0,0,0,0,0,2
2211161,m,1,1,1,0,1,0,1,3
2031346,m,0,0,1,1,0,1,1,4
2311040,m,0,0,1,0,1,0,0,1
1620432,m,1,0,0,1,0,0,1,5
2211245,f,0,1,0,0,1,1,1,4
2021374,f,1,0,0,1,0,0,1,3
2311463,m,0,0,0,0,1,0,0,4
1712728,f,1,1,1,1,1,1,1,3
2311797,m,1,0,0,0,1,1,0,2
2311817,f,1,1,1,1,1,1,1,1
1610998,f,0,1,0,0,1,0,1,2
1721109,m,0,1,0,1,1,0,0,5
1421179,f,1,0,0,1,0,0,1,5
2311179,m,0,1,0,0,1,1,1,4
2325547,m,1,0,0,1,0,0,1,3
1715211,m,0,0,0,0,1,0,0,4
2311120,m,1,1,1,1,1,1,1,3
1611266,m,1,0,0,0,1,1,0,2
2211243,m,1,1,1,1,1,1,1,1
2211499,f,1,0,1,0,1,1,1,4
2312300,m,0,1,0,0,1,0,0,3
1521887,f,0,0,1,1,1,0,1,3
2311942,m,0,1,0,0,1,0,1,2
2312116,m,0,0,1,0,0,1,0,3
2211443,f,1,0,0,0,0,1,0,4
1721146,m,1,0,0,1,0,0,0,3
1712046,m,1,1,1,1,1,1,1,3
2211382,m,1,0,0,0,1,1,0,2
2311944,m,1,1,1,1,1,1,1,1
2312056,f,1,0,1,0,1,1,1,4
2311203,f,0,1,0,0,1,0,0,3
2011947,f,0,0,1,1,1,0,1,3
2311828,m,0,1,0,0,1,0,1,2
2211199,m,0,0,1,0,0,1,0,2
2312067,m,1,0,0,0,0,1,0,4
2211424,m,1,0,0,1,0,0,0,3
1612521,m,1,1,1,1,1,1,1,3
1521698,m,1,0,0,0,1,1,0,2
2312258,m,1,1,1,1,1,1,1,1
2312019,f,1,1,0,1,0,1,1,4
2312107,f,0,1,0,0,1,0,0,2
2211230,m,0,0,1,1,1,0,1,3
2211421,m,0,1,0,0,1,0,1,2
2211543,m,0,1,1,0,0,1,0,4
2211256,f,1,0,0,0,0,1,0,4
2312306,f,1,0,0,1,0,0,0,3
2312141,f,0,1,1,0,0,0,1,1
2311994,m,0,1,1,1,0,1,1,1
2312292,m,1,0,0,0,0,0,0,2
2311461,m,1,1,1,0,1,1,1,3
1610221,f,1,1,1,0,1,0,1,1
2312152,f,0,1,1,1,0,0,0,2
2211140,f,1,1,1,1,1,1,1,3
1712556,m,1,0,0,0,1,0,0,1
2013347,m,1,0,0,1,1,1,0,4
2311335,f,1,0,0,1,1,0,0,3
2211583,m,0,1,1,0,0,0,1,2
2211400,m,0,1,1,1,0,1,0,4
2211241,m,0,0,0,1,1,1,1,3
2211234,m,1,1,1,0,0,0,0,1
2312143,m,1,1,1,1,0,1,0,2
2011948,f,0,1,0,0,1,0,0,3
1821327,f,0,0,1,1,1,0,1,3
2311381,f,0,1,0,0,1,0,1,2
2211492,m,0,0,1,0,0,1,0,3
1530611,f,1,0,0,0,0,1,0,4
2311209,m,1,0,0,1,0,0,0,3
2311986,m,1,1,1,1,1,1,1,3
2211341,m,0,1,1,0,0,0,1,2
1310671,m,0,1,1,1,0,1,0,4
1621454,m,1,1,0,0,1,1,1,2
2325549,m,1,1,0,1,1,0,1,1
2211285,f,0,0,1,1,1,0,0,3
2312313,f,0,1,1,1,1,0,1,1
2211309,m,0,1,1,0,1,1,0,1
1610434,f,0,1,1,1,1,1,1,2
1610304,m,1,1,1,0,0,0,0,2
1010848,f,1,1,0,1,1,0,0,3
2211095,m,1,0,0,0,1,0,0,5
1430463,f,1,1,1,0,1,0,1,1
2211398,f,0,0,1,1,0,0,0,4
2022274,m,1,0,0,0,1,0,0,2
2012733,m,0,1,1,1,0,0,1,3
1612344,m,0,1,0,0,0,1,1,3
2211416,f,0,0,1,0,0,1,0,2
1632006,m,0,0,0,0,1,0,1,1
2311188,f,1,1,0,0,0,0,1,1
2311870,m,0,0,0,1,0,1,0,4
1430413,f,0,1,0,0,0,0,0,2
2211208,f,1,0,1,1,1,1,0,2
2211565,f,1,0,1,0,0,1,0,3
2211579,f,1,0,0,0,1,0,0,3
2233151,m,0,0,0,1,0,0,0,1
2211431,f,0,1,0,0,1,0,1,4
1931595,f,1,0,0,1,1,0,1,2
2211316,f,0,1,1,1,1,1,0,5
2211212,m,0,1,1,1,1,0,1,2
2211337,m,1,1,0,1,1,0,1,2
2312166,m,1,1,0,1,0,1,0,4
2211450,f,0,0,1,1,1,1,1,5
2325550,m,0,1,0,1,0,1,1,2
2211442,m,0,0,0,0,1,1,0,2
2111916,f,1,1,0,0,1,1,1,4
2311985,m,1,0,0,0,1,1,0,2
1611223,m,1,0,1,1,1,0,0,1
2312195,m,1,1,0,1,0,0,1,5
2311411,f,0,0,1,0,0,0,0,3
2211378,f,1,0,0,1,0,0,0,1
1711465,f,0,0,1,0,1,1,1,5
2312284,f,1,0,1,1,0,0,0,2
2132800,f,1,1,1,1,1,1,1,3
2312156,f,1,1,0,1,1,1,1,1
1521528,f,0,1,0,0,1,1,1,4
2211288,f,0,0,0,0,0,0,0,3
2013127,m,1,0,1,0,0,1,1,1
2312328,f,0,0,1,1,1,1,0,1
2312118,f,0,1,1,1,1,1,0,4
2311281,f,0,1,0,0,1,1,1,3
2311322,f,1,1,0,1,1,0,1,2
2311787,m,1,1,1,1,0,1,0,5
2312014,f,1,0,0,1,0,0,0,3
2211521,f,0,0,0,1,1,0,0,2
2312015,f,0,1,1,1,1,1,1,5
2025267,m,1,1,1,0,1,0,1,3
2211570,m,0,1,1,0,0,0,0,3
1931285,m,1,1,0,0,0,0,1,5
1511508,m,0,0,1,0,0,1,1,3
2211417,f,1,0,0,0,0,1,0,2
2311859,m,1,1,1,1,0,0,0,5
2211475,f,1,1,1,1,0,1,1,3
1921454,f,1,0,1,1,0,0,1,4
2312163,m,1,1,0,0,1,1,1,4
2211226,f,0,0,0,1,0,1,1,5
2312261,f,1,0,0,1,1,1,1,2
2311297,f,1,0,0,0,0,0,0,5
1612658,m,1,1,1,0,0,1,0,4
1521419,m,0,1,0,0,1,1,0,4
2311881,m,0,1,0,0,0,1,1,4
2211215,f,1,0,1,0,0,1,0,1
1711746,m,1,1,0,0,0,1,0,2
1831748,f,1,0,1,0,0,1,1,1
2311190,m,0,1,1,0,1,1,0,2
2311369,m,1,0,1,0,1,0,1,3
1922175,m,0,0,1,1,1,1,1,5
2211131,f,0,0,0,0,1,0,1,5
2312211,m,0,1,0,0,0,0,0,4
2311207,f,1,0,1,1,0,1,1,5
2311908,f,0,1,1,0,0,1,0,4
1711447,m,0,0,1,0,0,1,1,2
2311892,f,0,1,1,0,0,0,1,3
1520381,f,0,1,0,0,1,1,1,4
1530966,m,1,0,0,1,0,0,0,3
2311913,f,0,1,0,1,1,1,0,4
2312037,m,0,1,1,0,1,0,0,1
1912567,m,1,0,0,0,1,1,1,3
2011005,f,1,0,1,0,1,1,1,4
2311026,m,1,1,0,1,0,0,0,5
1330358,f,0,1,1,0,0,0,0,3
2311306,f,0,1,0,0,1,0,1,2
2011308,m,1,1,1,1,1,1,0,3
2312101,m,0,0,0,0,1,1,1,3
1610050,f,1,1,0,0,0,0,1,4
2312126,f,1,1,0,1,0,0,1,4
1611415,m,0,0,0,1,0,0,0,3
2312040,m,0,1,0,0,1,0,1,3
2211276,f,0,0,0,1,0,0,0,4
2031565,f,0,0,1,0,1,0,1,1
2312215,m,1,1,1,1,1,1,1,1
2311373,f,1,0,1,0,0,1,1,1
2312129,f,0,0,0,1,0,1,0,4
2312154,f,1,1,0,0,1,0,0,4
1612798,m,0,0,0,1,0,0,0,4
1712892,m,1,1,1,1,0,1,0,2
2211352,f,0,0,0,0,1,0,0,2
2021510,f,0,0,0,0,0,0,0,3
1520306,m,0,0,0,0,0,1,0,1
1632354,m,1,1,1,1,0,0,1,1
2311837,f,1,0,0,0,0,0,0,1
2311035,f,0,0,0,1,1,0,1,1
1611492,m,1,1,1,0,0,1,0,5
2311290,f,1,0,0,1,1,1,1,1
1511208,f,0,0,1,0,1,0,1,5
1721256,m,0,0,1,1,1,0,1,4
2311325,m,0,0,1,0,0,0,1,2
2013996,f,0,1,0,0,0,1,1,5
2311295,f,1,0,1,0,0,1,1,5
1510385,m,1,0,1,0,0,1,0,2
2211527,m,1,1,0,1,1,1,1,1
2311430,f,0,0,1,0,0,1,1,3
2311875,m,0,1,0,0,0,1,0,1
2211124,f,1,0,1,0,0,1,1,1
2311103,m,0,0,0,0,1,0,0,1
2311331,m,1,1,1,1,0,0,1,3
2312218,f,1,1,1,1,1,1,1,5
2211578,f,1,1,1,0,1,1,1,2
1611297,f,1,1,0,1,1,1,0,3
2012075,m,0,1,1,1,1,0,0,5
2311274,m,0,0,0,0,0,0,1,3
2312081,f,0,1,1,1,1,1,0,2
2211555,f,0,0,1,0,0,1,0,5
2211490,m,1,1,1,0,0,1,1,4
2211376,f,1,1,1,0,1,1,0,4
2211392,m,1,1,0,0,0,1,1,4
1631410,f,0,1,0,1,0,0,1,2
2231951,f,1,1,1,0,1,0,1,3
2311998,f,1,0,0,1,0,1,0,3
1711194,m,0,0,0,1,0,1,1,3
2312319,m,1,0,1,0,1,0,0,2
1921385,f,0,1,0,0,1,1,0,1
1620573,m,0,1,0,0,0,1,0,5
2312239,f,1,0,1,0,0,0,1,1
2232119,f,0,0,0,1,1,1,0,3
2211289,m,0,1,1,0,1,0,0,3
1610421,m,1,0,0,0,1,0,1,2
2312132,m,0,1,1,0,1,0,1,5
2211236,f,0,1,0,0,0,0,0,1
2211074,f,1,1,1,1,0,0,0,5
1411011,m,0,0,0,1,1,1,1,1
1510658,m,1,0,1,1,0,0,0,1
2011022,f,1,1,1,1,0,1,0,5
2211453,f,1,0,0,0,0,1,1,3
1612797,m,1,0,1,0,1,0,0,1
2211232,m,1,0,0,0,0,0,1,5
2211524,f,0,1,1,0,0,1,1,3
2311177,f,0,0,0,0,1,1,1,5
2012478,f,1,0,1,0,1,0,0,2
2312061,f,0,1,1,0,0,0,1,5
2211359,m,0,0,1,1,1,0,1,2
1711465,m,0,0,1,1,0,0,0,1
2211268,m,1,0,1,1,0,0,0,5
1620084,m,1,1,1,1,1,0,1,4
2312254,f,0,1,0,1,1,1,0,2
1610304,f,0,0,0,1,1,1,0,4
2022390,f,0,0,0,0,0,1,0,4
2031346,f,1,1,0,0,1,0,0,1
2013044,f,0,0,0,0,0,1,0,3
1611063,m,0,0,1,0,1,1,1,2
2211542,m,0,0,0,0,0,1,1,3
2211552,f,0,1,0,1,0,0,0,1
2022211,f,1,1,1,0,0,1,0,3
2232061,f,1,0,0,0,0,1,0,4
2312041,m,1,1,1,1,0,1,1,3
1612682,m,0,0,1,1,1,1,0,2
2211360,m,1,0,0,1,0,0,1,4
2312204,m,1,1,0,0,1,0,0,5
2311983,f,0,0,0,0,1,0,0,5
2325584,m,0,0,1,0,0,0,1,4
2312219,f,1,1,1,1,1,0,0,2
2012673,m,1,1,1,0,0,0,1,2
1510910,f,1,1,1,1,0,1,1,3
2311340,f,1,0,1,1,1,0,1,2
2311218,m,0,0,0,0,1,1,0,5
2311338,f,1,0,1,0,0,0,0,2
2312293,m,0,0,1,0,0,1,0,1
2012999,m,0,0,1,0,1,0,0,3
2131558,f,0,0,0,0,1,1,1,2
1712684,f,0,0,0,1,0,1,0,3
2312263,f,0,0,0,1,0,1,0,3
2211278,f,1,0,0,1,1,0,0,4
1521026,f,0,0,0,1,0,0,1,1
2311445,m,0,1,0,0,0,0,0,3
2211115,m,0,1,1,0,1,0,0,2
1921785,m,1,0,1,1,0,1,1,2
2211361,f,0,0,0,0,1,1,0,2
2211081,m,0,1,0,1,0,1,0,2
1621138,m,0,1,1,0,1,1,1,5
2211152,f,0,1,1,1,0,1,0,3
1913015,f,0,1,0,1,1,0,0,4
2311273,m,0,0,1,1,0,1,0,2
2312114,m,0,0,0,1,1,1,1,4
2021771,f,0,1,0,0,0,1,1,3
2312208,f,1,0,0,0,0,0,1,1
2325551,m,1,0,0,1,0,0,0,3
2311907,f,1,1,0,0,1,1,1,4
1931675,f,0,0,1,1,1,0,1,2
2312233,m,0,1,0,0,1,0,0,2
2311919,f,1,1,0,1,0,0,0,3
2211347,f,0,1,0,1,0,1,1,1
1831422,m,0,1,0,0,1,1,1,4
2021752,f,1,0,0,0,1,1,1,3
2312095,m,1,1,1,1,1,0,1,1
1711417,f,1,0,0,0,1,0,0,3
2311934,m,1,1,1,0,1,0,0,4
2211391,f,1,0,0,1,1,0,1,6
2311905,m,1,0,0,0,1,1,0,3
1620705,m,0,0,1,0,1,0,1,1
1632023,m,0,1,0,0,0,0,0,5
1911410,m,1,1,1,1,1,0,0,3
2312329,m,1,1,1,0,0,1,1,3
2312311,f,1,1,0,1,1,1,0,1
2311454,f,1,1,1,0,0,1,0,1
1631661,m,1,1,0,0,1,1,0,4
2312257,m,1,1,0,0,1,0,0,3
2312120,m,1,0,0,1,0,1,1,4
2211479,f,1,0,0,1,1,0,1,5
2012489,f,1,0,1,1,1,0,0,12
2211539,m,0,0,1,1,1,0,1,6
2311947,m,1,1,0,1,0,1,1,3
2211464,f,0,0,1,1,1,0,0,5
2311287,f,1,1,1,0,0,1,0,4
2325556,m,0,1,0,1,0,1,0,1
2211148,m,0,0,0,1,0,0,1,2
2311856,m,0,1,0,0,1,0,1,4
2311316,m,0,0,1,1,0,1,1,1
1611687,m,1,1,0,1,1,0,1,4
1611459,m,1,1,0,1,1,0,0,4
2311107,m,1,0,1,1,1,1,1,3
2211501,m,0,1,0,0,0,0,0,3
2211530,f,1,1,0,0,1,1,0,2
1821033,m,1,0,0,1,0,0,1,3
2311894,m,0,1,0,1,1,0,1,4
2211494,m,1,1,1,1,0,0,1,3
1831334,f,0,1,0,1,0,0,0,3
1712896,m,0,1,1,0,1,1,0,4
1911065,m,0,1,0,0,1,1,0,6
2311923,m,1,1,1,1,1,0,1,4
2211071,f,1,0,0,1,1,0,0,6
2211142,m,0,0,1,0,1,0,0,1
2312028,m,1,0,1,1,1,0,1,4
2012036,m,1,0,1,0,1,1,1,5
2311122,m,1,0,0,0,0,1,0,1
1632113,m,0,0,1,1,1,1,0,3
2211550,f,1,0,0,0,0,0,1,5
1721118,m,0,1,1,0,0,1,1,5
2121645,f,1,0,0,1,1,0,0,3
1911432,f,0,0,0,0,1,1,1,4
1420197,f,1,1,1,0,0,0,1,3
1610711,f,0,1,1,0,1,0,0,5
2211368,f,0,1,0,1,1,1,1,2
1520882,f,0,1,0,0,1,1,1,4
1721092,f,1,0,1,0,1,0,1,1
2325587,f,0,0,1,1,0,0,0,3
2312136,m,1,0,1,1,0,0,0,2
2311420,m,0,1,1,0,1,0,0,2
2211329,m,1,1,1,1,1,0,0,1
2311363,m,1,1,1,0,0,1,1,1
1612771,m,0,1,0,0,0,1,1,3
2311861,f,0,0,0,1,0,1,1,4
2311470,m,1,1,1,0,1,1,0,3
2311808,m,1,1,0,0,1,0,0,5
1913101,m,1,0,0,1,0,1,1,5
2211526,f,0,0,0,0,1,1,1,5
2022256,f,0,0,1,1,1,1,1,3
2311114,f,1,1,0,1,1,1,1,5
2022000,f,1,0,1,1,0,1,1,4
1831153,f,1,1,0,1,1,0,1,1
2311989,f,1,0,1,1,0,1,1,1
1511724,f,1,1,0,1,1,1,0,2
2311268,f,0,0,1,1,0,0,1,4
2312299,m,0,1,1,1,1,0,0,4
1631893,f,0,0,1,0,1,1,1,3
2311456,f,0,1,1,0,0,0,1,4
2013209,m,1,1,1,0,0,0,1,1
1632761,m,0,0,0,0,1,1,1,2
2211419,f,1,1,0,0,1,1,0,5
2211778,f,1,1,1,1,1,1,0,1
1620742,m,1,0,1,1,1,0,0,1
1812459,m,1,1,1,1,0,1,1,3
2211351,f,0,1,1,0,1,1,0,2
1931914,m,0,0,1,0,0,1,1,4
1712808,m,0,1,0,0,0,1,1,3
1420197,f,0,0,0,1,1,0,0,5
2312267,m,0,0,1,1,1,1,0,5
2311876,m,0,0,0,1,0,1,1,3
2312077,m,0,1,0,0,1,0,1,3
2312178,f,0,0,1,0,0,0,0,5
1911706,m,1,0,0,0,0,1,0,4
2311212,f,0,0,0,0,1,1,0,5
1610434,m,0,0,1,1,0,1,1,1
2311104,f,1,0,0,1,0,0,0,2
2311838,f,0,0,0,1,1,1,0,5
2311118,f,1,1,0,0,1,0,0,5
1521492,m,1,1,1,1,1,0,0,1
2311189,f,1,1,0,1,1,0,0,2
2311204,f,1,0,1,1,0,0,0,3
1931919,m,1,1,1,0,1,0,0,4
2311831,f,0,0,1,0,0,0,0,4
1612711,f,1,1,1,1,0,0,0,5
1631844,m,1,0,1,0,1,1,0,1
2031077,m,0,1,1,1,0,0,0,4
2312288,f,1,0,1,1,0,0,1,1
1931845,f,1,1,1,1,0,0,0,4
2311805,f,0,0,1,1,1,1,0,1
1620740,f,1,1,0,1,1,0,0,3
2211231,m,0,1,1,1,0,1,1,3
2211404,f,0,0,1,0,0,1,1,3
2311317,m,1,0,1,0,0,0,0,3
1610902,m,0,0,1,1,1,1,0,4
2211434,f,1,0,1,0,1,1,1,5
1712531,f,0,1,0,0,1,0,1,2
2311296,f,1,1,0,1,0,0,0,2
2011719,m,1,1,0,1,0,1,0,1
2311952,m,1,1,1,1,0,0,0,3
2312271,m,0,0,1,1,0,0,0,5
2312226,m,0,0,0,1,0,0,1,1
2211275,f,0,0,0,1,1,0,1,3
1711328,f,1,0,0,1,1,0,1,3
2312003,f,1,0,0,0,0,1,1,4
2211343,m,1,1,1,0,0,1,1,4
2211483,f,0,1,0,0,0,0,0,3
2211394,m,1,0,1,0,0,0,1,2
1521929,f,0,1,0,0,0,1,0,5
1813422,m,1,0,1,0,0,0,1,1
2211525,f,1,0,0,1,1,1,0,1
2311387,f,0,1,1,0,0,1,0,1
1721248,f,0,1,0,1,0,0,0,5
1611889,m,0,0,0,0,0,0,0,4
1911739,m,0,1,0,0,0,0,0,2
2211070,m,1,0,1,0,0,0,0,2
2311285,f,1,0,1,0,0,0,0,1
2022206,m,0,1,0,0,0,1,0,3
2311200,m,0,0,1,1,0,1,1,1
1620704,f,1,1,0,1,0,1,0,2
2211561,m,1,1,0,0,1,0,0,1
2211118,f,0,1,1,1,1,0,1,4
1410795,f,1,1,0,0,1,0,0,1
2012662,m,0,1,0,1,1,0,0,1
1620235,m,0,1,0,0,1,0,1,3
2312207,f,1,1,0,1,0,1,0,1
1711485,f,0,0,1,0,0,0,1,1
2311380,f,1,0,0,1,0,0,0,5
2312283,f,1,1,1,0,1,1,1,1
2312017,f,0,1,1,1,1,0,0,4
2211213,m,0,1,0,1,1,1,0,4
2325553,f,0,1,0,1,0,1,0,3
2311385,m,1,0,1,1,0,1,1,3
2311320,f,0,1,1,1,1,1,1,5
2311303,m,0,1,1,1,1,0,0,2
2211062,f,0,1,0,0,1,0,1,3
1620897,m,1,0,1,0,1,0,0,2
